iter	Passed	Remaining
410	4327	206267
411	4338	206280
412	4349	206263
413	4374	206935
414	4384	206912
415	4393	206850
416	4403	206815
417	4414	206818
418	4424	206771
419	4434	206727
420	4444	206705
421	4455	206705
422	4469	206867
423	4484	207047
424	4496	207096
425	4516	207522
426	4529	207619
427	4540	207637
428	4550	207573
429	4560	207551
430	4571	207568
431	4583	207626
432	4595	207672
433	4607	207739
434	4618	207713
435	4629	207727
436	4640	207753
437	4655	207915
438	4667	207958
439	4681	208107
440	4692	208114
441	4702	208101
442	4712	208059
443	4723	208037
444	4733	208009
445	4744	208010
446	4754	207990
447	4766	208005
448	4777	208016
449	4790	208135
450	4801	208138
451	4812	208132
452	4822	208104
453	4838	208305
454	4849	208317
455	4860	208316
456	4871	208307
457	4880	208261
458	4891	208235
459	4901	208195
460	4911	208174
461	4921	208143
462	4931	208090
463	4942	208104
464	4954	208139
465	4965	208134
466	4974	208077
467	4986	208099
468	4998	208136
469	5008	208136
470	5019	208127
471	5030	208131
472	5040	208087
473	5050	208033
474	5061	208035
475	5071	208002
476	5081	207980
477	5091	207937
478	5102	207938
479	5114	207970
480	5123	207921
481	5134	207896
482	5144	207892
483	5154	207839
484	5164	207821
485	5175	207825
486	5185	207790
487	5196	207777
488	5207	207762
489	5217	207733
490	5227	207701
491	5237	207683
492	5247	207650
493	5258	207616
494	5268	207588
495	5279	207592
496	5289	207553
497	5299	207540
498	5311	207578
499	5323	207609
500	5334	207628
501	5345	207606
502	5355	207587
503	5366	207572
504	5376	207542
505	5385	207473
506	5395	207460
507	5406	207441
508	5417	207440
509	5427	207413
510	5437	207390
511	5449	207412
512	5459	207392
513	5471	207441
514	5483	207453
515	5493	207449
516	5504	207431
517	5514	207391
518	5525	207388
519	5535	207378
520	5545	207331
521	5556	207332
522	5566	207300
523	5576	207261
524	5586	207243
525	5597	207230
526	5608	207226
527	5618	207205
528	5629	207187
529	5641	207244
530	5651	207211
531	5661	207182
532	5671	207153
533	5681	207126
534	5692	207106
535	5702	207063
536	5713	207063
537	5723	207048
538	5733	206996
539	5743	206982
540	5754	206972
541	5765	206978
542	5778	207059
543	5788	207037
544	5799	207041
545	5811	207066
546	5823	207104
547	5835	207146
548	5846	207147
549	5856	207111
550	5866	207075
551	5876	207052
552	5887	207032
553	5897	207000
554	5907	206986
555	5917	206946
556	5927	206921
557	5938	206918
558	5949	206909
559	5958	206856
560	5968	206828
561	5982	206934
562	5992	206899
563	6002	206846
564	6011	206799
565	6021	206759
566	6031	206727
567	6041	206688
568	6051	206641
569	6060	206588
570	6070	206555
571	6080	206529
572	6090	206498
573	6101	206478
574	6111	206462
575	6122	206450
576	6132	206448
577	6144	206473
578	6155	206457
579	6165	206438
580	6175	206411
581	6185	206373
582	6195	206342
583	6205	206301
584	6215	206292
585	6225	206250
586	6235	206220
587	6245	206180
588	6255	206156
589	6267	206201
590	6278	206188
591	6288	206160
592	6298	206128
593	6310	206150
594	6322	206189
595	6334	206244
596	6345	206229
597	6356	206228
598	6366	206196
599	6376	206164
600	6386	206142
601	6396	206111
602	6407	206124
603	6419	206149
604	6430	206135
605	6441	206146
606	6452	206136
607	6461	206092
608	6471	206058
609	6482	206060
610	6494	206088
611	6505	206083
612	6515	206065
613	6524	206014
614	6535	205986
615	6545	205956
616	6554	205914
617	6565	205897
618	6575	205871
619	6585	205845
620	6596	205835
621	6605	205801
622	6615	205764
623	6625	205729
624	6635	205697
625	6646	205710
626	6658	205718
627	6668	205697
628	6678	205659
629	6688	205634
630	6697	205599
631	6708	205574
632	6718	205541
633	6728	205518
634	6737	205478
635	6747	205452
636	6757	205418
637	6767	205388
638	6778	205393
639	6789	205368
640	6799	205338
641	6808	205303
642	6818	205279
643	6829	205263
644	6839	205226
645	6849	205202
646	6859	205179
647	6869	205147
648	6879	205131
649	6889	205097
650	6899	205059
651	6908	205023
652	6919	205004
653	6930	205019
654	6940	204988
655	6950	204964
656	6961	204948
657	6971	204914
658	6982	204916
659	6994	204954
660	7004	204928
661	7014	204917
662	7025	204901
663	7036	204895
664	7046	204875
665	7056	204846
666	7066	204833
667	7076	204803
668	7086	204780
669	7098	204787
670	7108	204761
671	7118	204740
672	7129	204735
673	7140	204735
674	7150	204719
675	7161	204705
676	7172	204704
677	7182	204692
678	7192	204659
679	7202	204646
680	7213	204637
681	7223	204604
682	7233	204584
683	7243	204554
684	7253	204527
685	7264	204521
686	7274	204506
687	7286	204524
688	7297	204532
689	7307	204517
690	7319	204520
691	7329	204514
692	7340	204500
693	7350	204466
694	7360	204452
695	7370	204426
696	7379	204381
697	7389	204355
698	7400	204350
699	7410	204320
700	7422	204334
701	7432	204329
702	7442	204288
703	7453	204283
704	7463	204266
705	7474	204258
706	7484	204232
707	7494	204210
708	7504	204189
709	7514	204163
710	7524	204141
711	7534	204109
712	7544	204088
713	7554	204060
714	7564	204035
715	7574	204016
716	7584	203976
717	7595	203978
718	7606	203966
719	7615	203925
720	7625	203904
721	7637	203917
722	7647	203895
723	7657	203865
724	7667	203850
725	7677	203830
726	7689	203847
727	7698	203804
728	7708	203776
729	7719	203775
730	7729	203752
731	7739	203727
732	7749	203699
733	7760	203699
734	7770	203658
735	7778	203604
736	7788	203574
737	7799	203566
738	7810	203556
739	7821	203574
740	7831	203545
741	7841	203519
742	7851	203497
743	7862	203494
744	7873	203485
745	7883	203459
746	7893	203444
747	7903	203420
748	7913	203401
749	7924	203405
750	7935	203383
751	7945	203358
752	7955	203345
753	7967	203362
754	7977	203346
755	7987	203317
756	7998	203310
757	8008	203296
