iter	MAE
0	0.6797137239
1	0.6547234422
2	0.6283369463
3	0.6039074944
4	0.5815266101
5	0.5615544255
6	0.5421991136
7	0.5238874047
8	0.5082982924
9	0.4912620686
10	0.4751100097
11	0.4595566418
12	0.4441297855
13	0.4298978561
14	0.4182318295
15	0.4056337989
16	0.3951410437
17	0.3825330764
18	0.3718050485
19	0.3635712391
20	0.3538478626
21	0.344521754
22	0.3360462506
23	0.329898653
24	0.3206151663
25	0.3122836605
26	0.3074394291
27	0.3013521921
28	0.2946268863
29	0.2875156012
30	0.2826714145
31	0.276901055
32	0.271499824
33	0.2666413008
34	0.2622931541
35	0.2569109003
36	0.2525515091
37	0.2489115556
38	0.2453691874
39	0.2416619272
40	0.2383652763
41	0.2352455268
42	0.2314312891
43	0.2289175746
44	0.2255721433
45	0.2229397542
46	0.219825937
47	0.217743297
48	0.2152434519
49	0.2129718586
50	0.2110185601
51	0.2088085283
52	0.2063627156
53	0.2036410522
54	0.2021495238
55	0.1993386472
56	0.1969899939
57	0.1948247609
58	0.1929451419
59	0.1910308621
60	0.1888437246
61	0.1870230716
62	0.185648663
63	0.1836634023
64	0.1822741837
65	0.1814524594
66	0.1796582349
67	0.1789236195
68	0.1777582862
69	0.1762809985
70	0.175538153
71	0.1745251432
72	0.1735917906
73	0.1722142562
74	0.1711334281
75	0.1699649844
76	0.1691769167
77	0.1682526718
78	0.1675874928
79	0.1663939829
80	0.1653961085
81	0.1644619391
82	0.1632558678
83	0.162466086
84	0.161937789
85	0.1612614912
86	0.1605112735
87	0.1602038441
88	0.1598745932
89	0.1591959644
90	0.1583546699
91	0.1573707464
92	0.1564832055
93	0.1556943337
94	0.1552200305
95	0.1546324205
96	0.1541967948
97	0.1535968274
98	0.1528496945
99	0.1521469711
100	0.1515999797
101	0.1513168666
102	0.1508200343
103	0.1503877236
104	0.1496661914
105	0.1491937883
106	0.1485949996
107	0.1481053639
108	0.1476690717
109	0.1473917083
110	0.1469686855
111	0.1464957893
112	0.1461358791
113	0.1456494934
114	0.1452025474
115	0.1448998742
116	0.1444067958
117	0.1438680502
118	0.1428503067
119	0.1424610501
120	0.142069273
121	0.1415537965
122	0.1411879235
123	0.1403106226
124	0.1397788831
125	0.1394165963
126	0.1391149049
127	0.1385546071
128	0.1382574675
129	0.1376560634
130	0.137121962
131	0.1367841167
132	0.1366393577
133	0.1360002712
134	0.1357100053
135	0.1352949671
136	0.1349677702
137	0.1347302072
138	0.1344414011
139	0.1340823685
140	0.1338074894
141	0.1336719154
142	0.1333274955
143	0.1329978978
144	0.1326805433
145	0.1323046013
146	0.131847237
147	0.1310490671
148	0.1306454793
149	0.1300492293
150	0.1298179846
151	0.1290984642
152	0.1287658014
153	0.1285376694
154	0.1283334303
155	0.1279141352
156	0.1274791441
157	0.1271714334
158	0.1269239934
159	0.1266331035
160	0.1261958431
161	0.1258895186
162	0.12534428
163	0.1248601806
164	0.1242928997
165	0.1238976282
166	0.1236930536
167	0.1234944712
168	0.1233720954
169	0.1230761371
170	0.122513179
171	0.1223238312
172	0.1215850143
173	0.121300543
174	0.1207345704
175	0.1204910154
176	0.1201825157
177	0.1199158371
178	0.1196076801
179	0.1194614771
180	0.1191875391
181	0.1187798203
182	0.1183233403
183	0.118008069
184	0.1177885493
185	0.1173554205
186	0.1171358647
187	0.1168323579
188	0.1163994479
189	0.1161619837
190	0.1160503132
191	0.1159366028
192	0.1154711397
193	0.1150105691
194	0.1148910227
195	0.1146347179
196	0.1143592157
197	0.11414626
198	0.1140686423
199	0.1138698782
200	0.1137086835
